subj,trial_id,eye,startline,endline,FixlineIndex,start_time,end_time,duration,x_pos,y_pos,pup_size,valid
1950168,1,L,1.0,2.0,17.0,575563.0,575795.0,236.0,243.0,138.3,634.0,yes
1950168,1,L,2.0,3.0,27.0,579647.0,579815.0,172.0,235.8,222.0,729.0,yes
1950168,1,L,3.0,4.0,43.0,583287.0,583395.0,112.0,289.9,243.6,673.0,yes
1950168,1,L,4.0,5.0,61.0,589435.0,589671.0,240.0,270.4,321.6,745.0,yes
1950168,1,L,5.0,6.0,80.0,594735.0,594859.0,128.0,292.7,387.6,738.0,yes
1950168,1,L,6.0,7.0,96.0,599967.0,600123.0,160.0,260.0,441.3,680.0,yes
1950168,1,L,7.0,8.0,113.0,605375.0,605527.0,156.0,223.5,501.2,690.0,yes
1950168,1,L,8.0,9.0,130.0,611279.0,611483.0,208.0,244.6,557.4,644.0,yes
1950168,1,L,9.0,10.0,145.0,615043.0,615335.0,296.0,240.5,622.5,665.0,yes
1950168,1,L,10.0,11.0,162.0,620039.0,620175.0,140.0,227.2,702.6,631.0,yes
1950168,1,L,11.0,12.0,181.0,624815.0,625007.0,196.0,225.2,741.1,664.0,yes
1950168,1,L,12.0,13.0,196.0,629023.0,629131.0,112.0,284.5,795.9,678.0,yes
1950168,1,R,1.0,2.0,219.0,575563.0,575799.0,240.0,286.4,156.0,712.0,yes
1950168,1,R,2.0,3.0,229.0,579647.0,579811.0,168.0,272.1,236.8,795.0,yes
1950168,1,R,3.0,4.0,245.0,583287.0,583399.0,116.0,324.6,251.8,724.0,yes
1950168,1,R,4.0,5.0,263.0,589447.0,589671.0,228.0,292.3,326.2,774.0,yes
1950168,1,R,5.0,6.0,282.0,594735.0,594859.0,128.0,298.2,386.6,763.0,yes
1950168,1,R,6.0,7.0,298.0,599971.0,600127.0,160.0,279.1,430.7,688.0,yes
1950168,1,R,7.0,8.0,315.0,605375.0,605523.0,152.0,239.4,472.2,705.0,yes
1950168,1,R,8.0,9.0,332.0,611291.0,611483.0,196.0,259.5,560.0,653.0,yes
1950168,1,R,9.0,10.0,347.0,615043.0,615335.0,296.0,256.7,639.2,679.0,yes
1950168,1,R,10.0,11.0,364.0,620043.0,620171.0,132.0,243.6,713.3,620.0,yes
1950168,1,R,11.0,12.0,382.0,624811.0,625007.0,200.0,256.0,742.7,655.0,yes
1950168,1,R,12.0,13.0,396.0,629023.0,629131.0,112.0,331.7,807.6,685.0,yes
1950168,2,L,1.0,2.0,21.0,640591.0,640879.0,292.0,254.3,134.1,681.0,yes
1950168,2,L,2.0,3.0,35.0,644795.0,645187.0,396.0,249.3,196.9,641.0,yes
1950168,2,L,3.0,4.0,48.0,648567.0,648691.0,128.0,301.4,265.8,648.0,yes
1950168,2,L,4.0,5.0,65.0,653399.0,653719.0,324.0,251.3,306.1,659.0,yes
1950168,2,L,5.0,6.0,80.0,658019.0,658295.0,280.0,264.4,373.8,666.0,yes
1950168,2,L,6.0,7.0,95.0,661903.0,662303.0,404.0,260.4,449.0,654.0,yes
1950168,2,L,7.0,6.0,97.0,662615.0,662715.0,104.0,937.4,362.0,627.0,yes
1950168,2,L,6.0,7.0,99.0,662895.0,663007.0,116.0,286.0,456.4,695.0,yes
1950168,2,L,7.0,8.0,112.0,666131.0,666251.0,124.0,301.7,488.4,674.0,yes
1950168,2,L,8.0,9.0,126.0,670619.0,670735.0,120.0,219.5,553.5,723.0,yes
1950168,2,R,1.0,2.0,160.0,640603.0,640879.0,280.0,278.5,163.5,726.0,yes
1950168,2,R,2.0,3.0,174.0,644787.0,645187.0,404.0,282.5,231.0,689.0,yes
1950168,2,R,3.0,4.0,187.0,648567.0,648691.0,128.0,329.2,292.9,697.0,yes
1950168,2,R,4.0,5.0,204.0,653399.0,653719.0,324.0,278.5,330.7,680.0,yes
1950168,2,R,5.0,6.0,219.0,658031.0,658295.0,268.0,267.8,387.7,676.0,yes
1950168,2,R,6.0,7.0,234.0,661915.0,662303.0,392.0,279.1,462.4,647.0,yes
1950168,2,R,7.0,6.0,236.0,662615.0,662711.0,100.0,954.1,389.5,626.0,yes
1950168,2,R,6.0,7.0,238.0,662899.0,663003.0,108.0,303.2,469.2,701.0,yes
1950168,2,R,7.0,8.0,251.0,666143.0,666251.0,112.0,313.6,506.5,689.0,yes
