subj,trial_id,trial_type,trialstart,trialend,tdur,recstart,recend,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount,rpregres,ttfixurt
1950168,1,story01,570443,631164,60721,570475,630328,18,L,55716.0,0.0,202,45,1,4,Alex,1,215,258,204.25,258.0,460.0,1.0,0.0,0.0,861.0,1.0,460.0,60.0,460.0,0.0,0.0,861.0,432.0,3.0,,43316.0
1950168,1,story01,570443,631164,60721,570475,630328,18,L,55716.0,0.0,202,45,2,4, and,1,258,301,258.0,301.0,172.0,1.0,0.0,0.0,861.0,2.0,172.0,460.0,172.0,0.0,0.0,861.0,,,,43316.0
1950168,1,story01,570443,631164,60721,570475,630328,18,L,55716.0,0.0,202,45,3,4, Tim,1,301,344,301.0,344.0,280.0,1.0,1.0,2.0,2.0,0.0,280.0,172.0,452.0,1.0,2.0,6.0,,,,43316.0
1950168,1,story01,570443,631164,60721,570475,630328,18,L,55716.0,0.0,202,45,4,4, are,1,344,387,344.0,387.0,60.0,1.0,1.0,1.0,3.0,2.0,60.0,76.0,1404.0,6.0,1.0,3.0,460.0,1.0,,43316.0
1950168,1,story01,570443,631164,60721,570475,630328,18,L,55716.0,0.0,202,45,5,6, lost.,1,387,452,387.0,452.0,,,,,,,,,,,,,,,,43316.0
1950168,1,story01,570443,631164,60721,570475,630328,18,L,55716.0,0.0,202,45,6,7, Alex's,1,452,528,452.0,528.0,484.0,1.0,0.0,0.0,861.0,4.0,484.0,236.0,484.0,0.0,0.0,861.0,192.0,1.0,,43316.0
1950168,1,story01,570443,631164,60721,570475,630328,18,L,55716.0,0.0,202,45,7,5, wife,1,528,582,528.0,582.0,236.0,1.0,1.0,6.0,21.0,4.0,236.0,192.0,428.0,1.0,6.0,27.0,,,,43316.0
1950168,1,story01,570443,631164,60721,570475,630328,18,L,55716.0,0.0,202,45,8,9, recently,1,582,679,582.0,679.0,388.0,1.0,0.0,0.0,861.0,3.0,388.0,268.0,388.0,0.0,0.0,861.0,,,,43316.0
1950168,1,story01,570443,631164,60721,570475,630328,18,L,55716.0,0.0,202,45,9,7, passed,1,679,755,679.0,755.0,268.0,1.0,0.0,0.0,861.0,0.0,268.0,324.0,268.0,0.0,0.0,861.0,,,,43316.0
1950168,1,story01,570443,631164,60721,570475,630328,18,L,55716.0,0.0,202,45,10,5, away,1,755,809,755.0,809.0,324.0,1.0,0.0,0.0,861.0,1.0,324.0,336.0,324.0,0.0,0.0,861.0,,,,43316.0
1950168,1,story01,570443,631164,60721,570475,630328,18,L,55716.0,0.0,202,45,11,4, and,1,809,852,809.0,852.0,,,,,,,,,,,,,,,,43316.0
1950168,1,story01,570443,631164,60721,570475,630328,18,L,55716.0,0.0,202,45,12,3, he,1,852,884,852.0,884.0,336.0,1.0,0.0,0.0,861.0,0.0,336.0,364.0,336.0,0.0,0.0,861.0,,,,43316.0
1950168,1,story01,570443,631164,60721,570475,630328,18,L,55716.0,0.0,202,45,13,9, couldn't,1,884,981,884.0,991.75,364.0,1.0,0.0,0.0,861.0,4.0,364.0,192.0,364.0,0.0,0.0,861.0,,,,43316.0
1950168,1,story01,570443,631164,60721,570475,630328,18,L,55716.0,0.0,202,45,14,4,find,2,215,258,204.25,258.0,236.0,1.0,0.0,0.0,861.0,2.0,236.0,200.0,236.0,0.0,0.0,861.0,,,,43316.0
1950168,1,story01,570443,631164,60721,570475,630328,18,L,55716.0,0.0,202,45,15,4, the,2,258,301,258.0,301.0,200.0,1.0,0.0,0.0,861.0,3.0,200.0,392.0,200.0,0.0,0.0,861.0,,,,43316.0
1950168,1,story01,570443,631164,60721,570475,630328,18,L,55716.0,0.0,202,45,16,11, motivation,2,301,420,301.0,420.0,392.0,1.0,0.0,0.0,861.0,6.0,392.0,396.0,392.0,0.0,0.0,861.0,,,,43316.0
1950168,1,story01,570443,631164,60721,570475,630328,18,L,55716.0,0.0,202,45,17,3, to,2,420,452,420.0,452.0,396.0,1.0,0.0,0.0,861.0,2.0,396.0,764.0,396.0,0.0,0.0,861.0,,,,43316.0
1950168,1,story01,570443,631164,60721,570475,630328,18,L,55716.0,0.0,202,45,18,5, live,2,452,506,452.0,506.0,,,,,,,,,,,,,,,,43316.0
