subj,trial_id,trial_type,sampfreq,script,sessdate,srcfile,trialstart,trialend,tdur,recstart,recend,blinks,eye,start_time,end_time,duration,x1_pos,y1_pos,x2_pos,y2_pos,ampl,pk,line_no
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,570903.0,570947.0,48.0,226.3,77.3,360.7,171.3,4.03,297.0,1.0
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,571011.0,571039.0,32.0,376.0,180.5,241.6,100.5,3.85,288.0,1.0
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,571119.0,571139.0,24.0,250.8,103.1,219.4,60.4,1.3,129.0,1.0
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,571323.0,571331.0,12.0,232.0,70.7,255.1,78.1,0.59,74.0,1.0
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,571511.0,571527.0,20.0,253.4,81.1,316.0,74.0,1.54,127.0,1.0
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,571811.0,571819.0,12.0,298.0,82.0,279.7,84.3,0.45,56.0,1.0
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,571995.0,572015.0,24.0,285.2,84.2,372.6,75.8,2.16,159.0,1.0
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,572479.0,572507.0,32.0,382.9,76.6,510.0,91.7,3.18,193.0,1.0
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,572995.0,573011.0,20.0,499.0,96.1,580.5,91.7,2.04,189.0,1.0
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,573251.0,573271.0,24.0,570.1,97.3,506.1,92.0,1.6,162.0,1.0
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,573467.0,573487.0,24.0,508.5,93.9,607.0,97.6,2.46,191.0,1.0
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,573879.0,573899.0,24.0,616.1,90.7,694.0,96.6,1.95,179.0,1.0
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,574171.0,574191.0,24.0,682.4,96.4,774.1,92.5,2.29,195.0,1.0
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,574519.0,574539.0,24.0,771.5,94.9,860.9,95.2,2.22,201.0,1.0
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,574879.0,574899.0,24.0,862.4,100.8,945.6,98.5,2.05,175.0,1.0
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,575267.0,575283.0,20.0,940.9,104.2,1011.8,101.6,1.73,154.0,1.0
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,575479.0,575559.0,84.0,1000.1,103.5,233.5,135.7,18.71,512.0,1_2
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,575799.0,575819.0,24.0,242.0,140.4,306.8,127.6,1.62,148.0,2
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,576023.0,576043.0,24.0,300.8,130.8,376.0,124.3,1.86,163.0,2
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,576439.0,576459.0,24.0,368.8,130.6,460.5,130.3,2.28,183.0,2
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,576859.0,576879.0,24.0,440.3,128.6,540.8,134.0,2.51,206.0,2
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,577647.0,577791.0,148.0,548.9,158.4,704.3,116.6,4.02,708.0,2
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,578107.0,578127.0,24.0,707.9,160.2,764.9,172.1,1.45,147.0,2
1950168,1,story01,250,ET_Passa..._v2binoc,Thu Jan 14 20:30:29 2016,1950168.edf,570443,631164,60721,570475,630328,18,L,578687.0,578703.0,20.0,757.1,161.1,818.2,161.8,1.52,136.0,2
