subj,trial_id,trial_type,trialstart,trialend,tdur,recstart,recend,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount,rpregres,ttfixurt
1950168,3,story03,677267,751944,74677,677328,751131,21,R,70821.0,0.0,253,59,1,6,Cowboy,1,215,280,204.16666666666666,280.0,200.0,1.0,0.0,0.0,995.0,2.0,200.0,212.0,200.0,0.0,0.0,995.0,344.0,1.0,,51084.0
1950168,3,story03,677267,751944,74677,677328,751131,21,R,70821.0,0.0,253,59,2,4, was,1,280,323,280.0,323.0,128.0,1.0,1.0,1.0,4.0,2.0,128.0,344.0,684.0,2.0,1.0,4.0,656.0,3.0,,51084.0
1950168,3,story03,677267,751944,74677,677328,751131,21,R,70821.0,0.0,253,59,3,8, without,1,323,409,323.0,409.0,212.0,1.0,1.0,2.0,2.0,5.0,212.0,128.0,1752.0,7.0,1.0,4.0,412.0,2.0,,51084.0
1950168,3,story03,677267,751944,74677,677328,751131,21,R,70821.0,0.0,253,59,4,2, a,1,409,431,409.0,431.0,,,,,,,,,,,,,,,,51084.0
1950168,3,story03,677267,751944,74677,677328,751131,21,R,70821.0,0.0,253,59,5,6, doubt,1,431,496,431.0,496.0,76.0,1.0,0.0,0.0,995.0,0.0,76.0,132.0,76.0,0.0,0.0,995.0,336.0,1.0,,51084.0
1950168,3,story03,677267,751944,74677,677328,751131,21,R,70821.0,0.0,253,59,6,4, the,1,496,539,496.0,539.0,132.0,1.0,1.0,5.0,21.0,0.0,132.0,336.0,468.0,1.0,5.0,23.0,,,,51084.0
1950168,3,story03,677267,751944,74677,677328,751131,21,R,70821.0,0.0,253,59,7,8, ugliest,1,539,625,539.0,625.0,448.0,2.0,0.0,0.0,995.0,3.0,212.0,284.0,448.0,0.0,0.0,995.0,,,,51084.0
1950168,3,story03,677267,751944,74677,677328,751131,21,R,70821.0,0.0,253,59,8,6, horse,1,625,690,625.0,690.0,284.0,1.0,0.0,0.0,995.0,5.0,284.0,220.0,284.0,0.0,0.0,995.0,,,,51084.0
1950168,3,story03,677267,751944,74677,677328,751131,21,R,70821.0,0.0,253,59,9,3, in,1,690,722,690.0,722.0,,,,,,,,,,,,,,,,51084.0
1950168,3,story03,677267,751944,74677,677328,751131,21,R,70821.0,0.0,253,59,10,4, the,1,722,765,722.0,765.0,460.0,2.0,0.0,0.0,995.0,3.0,220.0,192.0,460.0,0.0,0.0,995.0,,,,51084.0
