subj,trial_id,eye,startline,endline,SaclineIndex,start_time,end_time,duration,x1_pos,y1_pos,x2_pos,y2_pos,ampl,pk
1950168,1,L,1.0,2.0,16.0,575479.0,575559.0,84.0,1000.1,103.5,233.5,135.7,18.71,512.0
1950168,1,L,2.0,3.0,26.0,579567.0,579643.0,80.0,941.8,157.1,220.5,213.0,17.69,495.0
1950168,1,L,3.0,4.0,42.0,583207.0,583283.0,80.0,939.7,215.4,281.1,239.4,16.17,479.0
1950168,1,L,4.0,5.0,60.0,589367.0,589431.0,68.0,930.1,255.1,284.1,310.8,15.93,461.0
1950168,1,L,5.0,6.0,79.0,594651.0,594731.0,84.0,1006.8,310.8,285.1,382.5,17.71,511.0
1950168,1,L,6.0,7.0,95.0,599887.0,599963.0,80.0,1024.7,381.7,251.7,440.3,18.84,528.0
1950168,1,L,7.0,8.0,112.0,605291.0,605371.0,84.0,947.2,438.6,215.4,495.4,17.86,454.0
1950168,1,L,8.0,9.0,129.0,611203.0,611275.0,76.0,1003.7,488.7,253.3,543.3,18.22,495.0
1950168,1,L,9.0,10.0,144.0,614959.0,615039.0,84.0,994.5,543.4,231.6,610.8,18.48,521.0
1950168,1,L,10.0,11.0,161.0,619963.0,620035.0,76.0,997.4,615.5,238.4,698.5,18.33,528.0
1950168,1,L,11.0,12.0,180.0,624731.0,624811.0,84.0,1009.0,675.1,216.5,737.4,18.95,494.0
1950168,1,L,12.0,13.0,195.0,628951.0,629019.0,72.0,980.0,742.9,297.9,790.8,16.36,425.0
1950168,1,R,1.0,2.0,217.0,575479.0,575559.0,84.0,1020.9,108.4,295.8,155.4,17.72,439.0
1950168,1,R,2.0,3.0,227.0,579567.0,579643.0,80.0,965.3,166.3,275.0,234.9,16.96,456.0
1950168,1,R,3.0,4.0,243.0,583211.0,583283.0,76.0,961.6,209.3,330.7,251.6,15.52,436.0
1950168,1,R,4.0,5.0,261.0,589367.0,589443.0,80.0,960.5,270.1,299.5,330.1,16.29,430.0
1950168,1,R,5.0,6.0,280.0,594655.0,594731.0,80.0,1016.9,316.5,302.0,390.3,17.55,461.0
1950168,1,R,6.0,7.0,296.0,599887.0,599967.0,84.0,1037.8,383.5,281.7,442.1,18.43,478.0
1950168,1,R,7.0,8.0,313.0,605291.0,605371.0,84.0,963.6,439.2,240.1,458.5,17.61,421.0
