subj,trial_id,trial_type,trialstart,trialend,tdur,recstart,recend,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount,rpregres,ttfixurt
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,1,3,The,1,215,247,204.33333333333334,247.0,228.0,1.0,0.0,0.0,605.0,1.0,228.0,224.0,228.0,0.0,0.0,605.0,236.0,1.0,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,2,6, trial,1,247,312,247.0,312.0,808.0,3.0,0.0,0.0,605.0,4.0,224.0,292.0,808.0,0.0,0.0,605.0,240.0,1.0,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,3,5, pack,1,312,366,312.0,366.0,292.0,1.0,1.0,1.0,2.0,4.0,292.0,236.0,1048.0,3.0,1.0,2.0,280.0,1.0,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,4,3, of,1,366,398,366.0,398.0,,,,,,,,,,,,,,,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,5,15, Beauty-Forever,1,398,560,398.0,560.0,1336.0,5.0,0.0,0.0,605.0,4.0,320.0,216.0,1336.0,0.0,0.0,605.0,,,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,6,6, pills,1,560,625,560.0,625.0,216.0,1.0,0.0,0.0,605.0,5.0,216.0,292.0,216.0,0.0,0.0,605.0,,,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,7,5, made,1,625,679,625.0,679.0,,,,,,,,,,,,,,,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,8,4, the,1,679,722,679.0,722.0,292.0,1.0,0.0,0.0,605.0,0.0,292.0,240.0,292.0,0.0,0.0,605.0,,,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,9,7, couple,1,722,798,722.0,798.0,396.0,2.0,0.0,0.0,605.0,1.0,240.0,212.0,396.0,0.0,0.0,605.0,208.0,1.0,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,10,5, feel,1,798,852,798.0,852.0,,,,,,,,,,,,,,,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,11,5, more,1,852,906,852.0,906.0,212.0,1.0,1.0,9.0,49.0,0.0,212.0,208.0,692.0,2.0,9.0,53.0,272.0,1.0,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,12,11, attractive,1,906,1025,906.0,1035.6666666666667,328.0,1.0,0.0,0.0,605.0,6.0,328.0,280.0,328.0,0.0,0.0,605.0,,,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,13,4,than,2,215,258,204.33333333333334,258.0,,,,,,,,,,,,,,,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,14,7, either,2,258,334,258.0,334.0,648.0,2.0,0.0,0.0,605.0,1.0,280.0,336.0,648.0,0.0,0.0,605.0,,,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,15,4, had,2,334,377,334.0,377.0,,,,,,,,,,,,,,,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,16,5, ever,2,377,431,377.0,431.0,516.0,2.0,0.0,0.0,605.0,2.0,336.0,224.0,516.0,0.0,0.0,605.0,,,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,17,9, imagined,2,431,528,431.0,528.0,224.0,1.0,0.0,0.0,605.0,7.0,224.0,524.0,224.0,0.0,0.0,605.0,,,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,18,10, possible.,2,528,636,528.0,636.0,524.0,1.0,0.0,0.0,605.0,8.0,524.0,228.0,524.0,0.0,0.0,605.0,,,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,19,9, Suddenly,2,636,733,636.0,733.0,672.0,3.0,0.0,0.0,605.0,8.0,228.0,204.0,672.0,0.0,0.0,605.0,,,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,20,6, their,2,733,798,733.0,798.0,176.0,1.0,0.0,0.0,605.0,5.0,176.0,284.0,176.0,0.0,0.0,605.0,,,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,21,9, marriage,2,798,895,798.0,895.0,204.0,1.0,1.0,20.0,119.0,1.0,204.0,176.0,664.0,2.0,20.0,128.0,284.0,1.0,,26312.0
1950168,2,story02,634703,674092,39389,634777,673279,10,R,24581.0,0.0,137,28,22,4, was,2,895,938,895.0,938.0,,,,,,,,,,,,,,,,26312.0
