subj,trial_id,trial_type,trialstart,trialend,tdur,recstart,recend,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount,rpregres,ttfixurt
1950168,1,story01,570443,631164,60721,570475,630328,18,R,53148.0,0.0,199,42,1,4,Alex,1,215,258,204.25,258.0,460.0,1.0,0.0,0.0,861.0,3.0,460.0,60.0,460.0,0.0,0.0,861.0,172.0,1.0,,41880.0
1950168,1,story01,570443,631164,60721,570475,630328,18,R,53148.0,0.0,199,42,2,4, and,1,258,301,258.0,301.0,80.0,1.0,1.0,1.0,2.0,2.0,80.0,172.0,428.0,2.0,1.0,2.0,176.0,1.0,,41880.0
1950168,1,story01,570443,631164,60721,570475,630328,18,R,53148.0,0.0,199,42,3,4, Tim,1,301,344,301.0,344.0,444.0,2.0,0.0,0.0,861.0,2.0,272.0,460.0,444.0,0.0,0.0,861.0,,,,41880.0
1950168,1,story01,570443,631164,60721,570475,630328,18,R,53148.0,0.0,199,42,4,4, are,1,344,387,344.0,387.0,,,,,,,,,,,,,,,,41880.0
1950168,1,story01,570443,631164,60721,570475,630328,18,R,53148.0,0.0,199,42,5,6, lost.,1,387,452,387.0,452.0,60.0,1.0,1.0,2.0,2.0,1.0,60.0,80.0,1392.0,6.0,1.0,2.0,460.0,1.0,,41880.0
1950168,1,story01,570443,631164,60721,570475,630328,18,R,53148.0,0.0,199,42,6,7, Alex's,1,452,528,452.0,528.0,488.0,1.0,0.0,0.0,861.0,6.0,488.0,236.0,488.0,0.0,0.0,861.0,,,,41880.0
1950168,1,story01,570443,631164,60721,570475,630328,18,R,53148.0,0.0,199,42,7,5, wife,1,528,582,528.0,582.0,196.0,1.0,0.0,0.0,861.0,2.0,196.0,388.0,196.0,0.0,0.0,861.0,,,,41880.0
1950168,1,story01,570443,631164,60721,570475,630328,18,R,53148.0,0.0,199,42,8,9, recently,1,582,679,582.0,679.0,236.0,1.0,1.0,7.0,24.0,1.0,236.0,196.0,820.0,2.0,7.0,31.0,388.0,1.0,,41880.0
1950168,1,story01,570443,631164,60721,570475,630328,18,R,53148.0,0.0,199,42,9,7, passed,1,679,755,679.0,755.0,268.0,1.0,0.0,0.0,861.0,2.0,268.0,324.0,268.0,0.0,0.0,861.0,,,,41880.0
1950168,1,story01,570443,631164,60721,570475,630328,18,R,53148.0,0.0,199,42,10,5, away,1,755,809,755.0,809.0,324.0,1.0,0.0,0.0,861.0,3.0,324.0,340.0,324.0,0.0,0.0,861.0,,,,41880.0
1950168,1,story01,570443,631164,60721,570475,630328,18,R,53148.0,0.0,199,42,11,4, and,1,809,852,809.0,852.0,,,,,,,,,,,,,,,,41880.0
1950168,1,story01,570443,631164,60721,570475,630328,18,R,53148.0,0.0,199,42,12,3, he,1,852,884,852.0,884.0,340.0,1.0,0.0,0.0,861.0,2.0,340.0,364.0,340.0,0.0,0.0,861.0,,,,41880.0
1950168,1,story01,570443,631164,60721,570475,630328,18,R,53148.0,0.0,199,42,13,9, couldn't,1,884,981,884.0,991.75,364.0,1.0,0.0,0.0,861.0,5.0,364.0,192.0,364.0,0.0,0.0,861.0,,,,41880.0
1950168,1,story01,570443,631164,60721,570475,630328,18,R,53148.0,0.0,199,42,14,4,find,2,215,258,204.25,258.0,,,,,,,,,,,,,,,,41880.0
