subj,trial_id,trial_type,trialstart,trialend,tdur,recstart,recend,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount,rpregres,ttfixurt
1950168,3,story03,677267,751944,74677,677328,751131,21,L,70833.0,0.0,250,58,1,6,Cowboy,1,215,280,204.16666666666666,280.0,200.0,1.0,0.0,0.0,995.0,1.0,200.0,204.0,200.0,0.0,0.0,995.0,468.0,2.0,,50728.0
1950168,3,story03,677267,751944,74677,677328,751131,21,L,70833.0,0.0,250,58,2,4, was,1,280,323,280.0,323.0,212.0,1.0,0.0,0.0,995.0,1.0,212.0,196.0,212.0,0.0,0.0,995.0,444.0,2.0,,50728.0
1950168,3,story03,677267,751944,74677,677328,751131,21,L,70833.0,0.0,250,58,3,8, without,1,323,409,323.0,409.0,204.0,1.0,1.0,1.0,5.0,3.0,204.0,128.0,1820.0,8.0,1.0,5.0,492.0,3.0,,50728.0
1950168,3,story03,677267,751944,74677,677328,751131,21,L,70833.0,0.0,250,58,4,2, a,1,409,431,409.0,431.0,,,,,,,,,,,,,,,,50728.0
1950168,3,story03,677267,751944,74677,677328,751131,21,L,70833.0,0.0,250,58,5,6, doubt,1,431,496,431.0,496.0,472.0,2.0,0.0,0.0,995.0,4.0,136.0,208.0,472.0,0.0,0.0,995.0,,,,50728.0
1950168,3,story03,677267,751944,74677,677328,751131,21,L,70833.0,0.0,250,58,6,4, the,1,496,539,496.0,539.0,236.0,1.0,0.0,0.0,995.0,2.0,236.0,284.0,236.0,0.0,0.0,995.0,,,,50728.0
1950168,3,story03,677267,751944,74677,677328,751131,21,L,70833.0,0.0,250,58,7,8, ugliest,1,539,625,539.0,625.0,208.0,1.0,1.0,6.0,22.0,0.0,208.0,236.0,444.0,1.0,6.0,28.0,,,,50728.0
1950168,3,story03,677267,751944,74677,677328,751131,21,L,70833.0,0.0,250,58,8,6, horse,1,625,690,625.0,690.0,284.0,1.0,0.0,0.0,995.0,3.0,284.0,216.0,284.0,0.0,0.0,995.0,,,,50728.0
1950168,3,story03,677267,751944,74677,677328,751131,21,L,70833.0,0.0,250,58,9,3, in,1,690,722,690.0,722.0,,,,,,,,,,,,,,,,50728.0
1950168,3,story03,677267,751944,74677,677328,751131,21,L,70833.0,0.0,250,58,10,4, the,1,722,765,722.0,765.0,452.0,2.0,0.0,0.0,995.0,2.0,216.0,192.0,452.0,0.0,0.0,995.0,,,,50728.0
1950168,3,story03,677267,751944,74677,677328,751131,21,L,70833.0,0.0,250,58,11,7, world.,1,765,841,765.0,841.0,192.0,1.0,0.0,0.0,995.0,5.0,192.0,560.0,192.0,0.0,0.0,995.0,,,,50728.0
1950168,3,story03,677267,751944,74677,677328,751131,21,L,70833.0,0.0,250,58,12,5, Even,1,841,895,841.0,895.0,560.0,1.0,0.0,0.0,995.0,4.0,560.0,160.0,560.0,0.0,0.0,995.0,,,,50728.0
1950168,3,story03,677267,751944,74677,677328,751131,21,L,70833.0,0.0,250,58,13,4," so,",1,895,938,895.0,938.0,160.0,1.0,0.0,0.0,995.0,3.0,160.0,360.0,160.0,0.0,0.0,995.0,,,,50728.0
1950168,3,story03,677267,751944,74677,677328,751131,21,L,70833.0,0.0,250,58,14,2, I,1,938,960,938.0,970.8333333333334,,,,,,,,,,,,,,,,50728.0
1950168,3,story03,677267,751944,74677,677328,751131,21,L,70833.0,0.0,250,58,15,5,loved,2,215,269,204.16666666666666,269.0,640.0,2.0,0.0,0.0,995.0,1.0,180.0,220.0,640.0,0.0,0.0,995.0,,,,50728.0
1950168,3,story03,677267,751944,74677,677328,751131,21,L,70833.0,0.0,250,58,16,4, him,2,269,312,269.0,312.0,,,,,,,,,,,,,,,,50728.0
1950168,3,story03,677267,751944,74677,677328,751131,21,L,70833.0,0.0,250,58,17,7, beyond,2,312,388,312.0,388.0,388.0,2.0,0.0,0.0,995.0,3.0,220.0,120.0,388.0,0.0,0.0,995.0,,,,50728.0
1950168,3,story03,677267,751944,74677,677328,751131,21,L,70833.0,0.0,250,58,18,4, all,2,388,431,388.0,431.0,120.0,1.0,0.0,0.0,995.0,1.0,120.0,604.0,120.0,0.0,0.0,995.0,,,,50728.0
1950168,3,story03,677267,751944,74677,677328,751131,21,L,70833.0,0.0,250,58,19,8, reason.,2,431,517,431.0,517.0,604.0,1.0,0.0,0.0,995.0,7.0,604.0,272.0,604.0,0.0,0.0,995.0,,,,50728.0
