Name,Language,WordID,Word,length,height,baseline,line_no,x1_pos,y1_pos,x2_pos,y2_pos,b_x1,b_y1,b_x2,b_y2
story03,English,1,Cowboy,6,17,86,1,215,88,280,105,215,65,280,127
story03,English,2, was,4,10,86,1,280,91,323,101,280,65,323,127
story03,English,3, without,8,13,86,1,323,88,409,101,323,65,409,127
story03,English,4, a,2,10,86,1,409,91,431,101,409,65,431,127
story03,English,5, doubt,6,13,86,1,431,88,496,101,431,65,496,127
story03,English,6, the,4,13,86,1,496,88,539,101,496,65,539,127
story03,English,7, ugliest,8,18,86,1,539,87,625,105,539,65,625,127
story03,English,8, horse,6,13,86,1,625,88,690,101,625,65,690,127
story03,English,9, in,3,13,86,1,690,88,722,101,690,65,722,127
story03,English,10, the,4,13,86,1,722,88,765,101,722,65,765,127
story03,English,11, world.,7,14,86,1,765,87,841,101,765,65,841,127
story03,English,12, Even,5,12,86,1,841,89,895,101,841,65,895,127
story03,English,13," so,",4,13,86,1,895,91,938,104,895,65,938,127
story03,English,14, I,2,12,86,1,938,89,960,101,938,65,960,127
story03,English,15,loved,5,14,151,2,215,152,269,166,215,130,269,192
story03,English,16, him,4,13,151,2,269,153,312,166,269,130,312,192
story03,English,17, beyond,7,17,151,2,312,153,388,170,312,130,388,192
story03,English,18, all,4,14,151,2,388,152,431,166,388,130,431,192
story03,English,19, reason.,8,10,151,2,431,156,517,166,431,130,517,192
story03,English,20, I,2,12,151,2,517,154,539,166,517,130,539,192
story03,English,21, realized,9,14,151,2,539,152,636,166,539,130,636,192
story03,English,22, that,5,13,151,2,636,153,690,166,636,130,690,192
story03,English,23, my,3,14,151,2,690,156,723,170,690,130,723,192
story03,English,24, only,5,18,151,2,723,152,777,170,723,130,777,192
story03,English,25, chance,7,13,151,2,777,153,853,166,777,130,853,192
story03,English,26, to,3,12,151,2,853,154,885,166,853,130,885,192
story03,English,27, compete,8,16,151,2,885,154,971,170,885,130,971,192
story03,English,28,would,5,14,216,3,215,217,269,231,215,195,269,257
story03,English,29, be,3,13,216,3,269,218,301,231,269,195,301,257
story03,English,30, in,3,13,216,3,301,218,333,231,301,195,333,257
story03,English,31, the,4,13,216,3,333,218,376,231,333,195,376,257
story03,English,32, speed,6,17,216,3,376,218,441,235,376,195,441,257
story03,English,33," events,",8,15,216,3,441,219,527,234,441,195,527,257
story03,English,34, since,6,13,216,3,527,218,592,231,527,195,592,257
story03,English,35, events,7,12,216,3,592,219,668,231,592,195,668,257
story03,English,36, based,6,13,216,3,668,218,733,231,668,195,733,257
story03,English,37, on,3,10,216,3,733,221,765,231,733,195,765,257
story03,English,38, appearance,11,14,216,3,765,221,884,235,765,195,884,257
story03,English,39, were,5,10,216,3,884,221,938,231,884,195,938,257
story03,English,40, out,4,12,216,3,938,219,981,231,938,195,981,257
story03,English,41, of,3,13,216,3,981,218,1013,231,981,195,1013,257
story03,English,42,the,3,13,281,4,215,283,247,296,215,260,247,322
story03,English,43, question.,10,17,281,4,247,283,355,300,247,260,355,322
story03,English,44, I,2,12,281,4,355,284,377,296,355,260,377,322
story03,English,45, chose,6,13,281,4,377,283,442,296,377,260,442,322
story03,English,46, barrel,7,14,281,4,442,282,518,296,442,260,518,322
story03,English,47, racing,7,17,281,4,518,283,594,300,518,260,594,322
story03,English,48, and,4,13,281,4,594,283,637,296,594,260,637,322
story03,English,49, came,5,10,281,4,637,286,691,296,637,260,691,322
story03,English,50, in,3,13,281,4,691,283,723,296,691,260,723,322
story03,English,51, next,5,12,281,4,723,284,777,296,723,260,777,322
story03,English,52, to,3,12,281,4,777,284,809,296,777,260,809,322
story03,English,53," last,",6,17,281,4,809,282,874,299,809,260,874,322
story03,English,54, while,6,14,281,4,874,282,939,296,874,260,939,322
story03,English,55," Becky,",7,17,281,4,939,283,1015,300,939,260,1015,322
story03,English,56,who,3,13,346,5,215,348,247,361,215,325,247,387
story03,English,57, rode,5,13,346,5,247,348,301,361,247,325,301,387
story03,English,58, a,2,10,346,5,301,351,323,361,301,325,323,387
