subj,trial_id,trial_type,sampfreq,script,sessdate,srcfile,trialstart,trialend,tdur,recstart,recend,blinks,eye,start_time,end_time,duration,x1_pos,y1_pos,x2_pos,y2_pos,ampl,pk,line_no
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,853344.0,853364.0,24.0,215.5,65.1,137.2,45.2,1.94,169.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,853476.0,853500.0,28.0,153.8,50.2,353.4,197.7,6.05,441.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,853588.0,853624.0,40.0,352.4,183.1,288.7,78.0,3.03,353.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,853680.0,853712.0,36.0,285.2,64.2,250.9,61.6,0.84,169.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,853848.0,853852.0,8.0,244.3,64.6,247.4,74.5,0.25,51.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,854012.0,854024.0,16.0,249.0,69.2,224.9,72.9,0.59,60.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,854324.0,854348.0,28.0,234.0,79.8,350.0,59.2,2.87,243.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,854516.0,854532.0,20.0,353.8,82.0,297.5,87.9,1.39,127.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,854740.0,854760.0,24.0,312.9,90.9,380.9,84.4,1.68,150.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,855060.0,855076.0,20.0,378.0,89.2,436.9,89.4,1.46,120.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,855408.0,855432.0,28.0,425.9,99.2,532.2,93.7,2.64,219.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,855596.0,855608.0,16.0,526.7,98.4,487.1,96.0,0.99,90.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,855916.0,855928.0,16.0,502.7,87.2,538.1,82.8,0.89,89.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,856260.0,856280.0,24.0,534.3,96.9,619.3,92.2,2.13,171.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,856680.0,856700.0,24.0,614.5,88.0,700.6,89.5,2.15,147.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,857176.0,857196.0,24.0,714.8,103.7,819.5,96.0,2.62,189.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,857496.0,857516.0,24.0,815.1,91.8,880.2,96.8,1.62,133.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,857724.0,857736.0,16.0,881.5,103.1,927.3,105.9,1.13,107.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,857928.0,857940.0,16.0,917.0,102.2,881.9,96.3,0.88,87.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,858184.0,858196.0,16.0,902.9,97.4,933.6,97.4,0.76,71.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,858368.0,858384.0,20.0,943.8,99.5,1009.0,95.2,1.6,128.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,858528.0,858592.0,68.0,1002.1,99.8,251.4,164.1,18.36,533.0,1_2
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,858956.0,858976.0,24.0,244.5,160.4,339.2,149.7,2.33,181.0,2
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,859292.0,859312.0,24.0,343.2,144.1,259.4,147.4,2.06,160.0,2
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,859444.0,859484.0,44.0,274.1,151.9,515.2,130.4,5.97,205.0,2
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,859632.0,859648.0,20.0,505.0,129.5,434.5,141.2,1.78,160.0,2
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,860064.0,860084.0,24.0,453.0,157.2,565.2,150.9,2.8,214.0,2
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,860272.0,860292.0,24.0,556.3,150.4,488.9,152.3,1.68,149.0,2
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,860524.0,860548.0,28.0,502.6,158.1,656.8,154.4,3.85,265.0,2
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,860716.0,860736.0,24.0,661.1,153.6,637.5,154.4,0.59,94.0,2
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,860944.0,860964.0,24.0,638.1,157.0,741.7,153.9,2.59,197.0,2
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,861136.0,861152.0,20.0,737.0,153.6,688.9,147.9,1.21,108.0,2
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,861376.0,861396.0,24.0,704.2,150.8,799.7,153.6,2.39,181.0,2
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,861836.0,861852.0,20.0,784.6,152.8,853.6,149.3,1.72,146.0,2
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,862112.0,862132.0,24.0,840.9,145.4,917.6,142.9,1.9,144.0,2
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,862232.0,862292.0,64.0,908.2,151.5,254.5,218.5,16.13,570.0,2_3
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,862552.0,862572.0,24.0,250.1,228.8,314.9,225.5,1.58,145.0,3
