subj,trial_id,trial_type,sampfreq,script,sessdate,srcfile,trialstart,trialend,tdur,recstart,recend,blinks,eye,start_time,end_time,duration,x_pos,y_pos,pup_size,valid,line_no,region_no
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,853040.0,853340.0,304.0,217.2,64.5,755.0,yes,1.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,853368.0,853472.0,108.0,152.3,48.4,741.0,yes,1.0,
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,853504.0,853584.0,84.0,350.6,183.8,751.0,yes,1.0,4.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,853628.0,853676.0,52.0,284.4,64.1,726.0,yes,1.0,2.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,853716.0,853844.0,132.0,246.2,54.0,696.0,yes,1.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,853856.0,854008.0,156.0,249.8,70.2,651.0,yes,1.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,854028.0,854320.0,296.0,232.9,75.2,625.0,yes,1.0,1.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,854352.0,854512.0,164.0,350.7,68.7,604.0,yes,1.0,4.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,854536.0,854736.0,204.0,312.4,91.4,648.0,yes,1.0,3.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,854764.0,855056.0,296.0,376.0,83.3,727.0,yes,1.0,4.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,855080.0,855404.0,328.0,427.7,93.4,740.0,yes,1.0,5.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,855436.0,855592.0,160.0,526.7,96.2,756.0,yes,1.0,6.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,855612.0,855912.0,304.0,497.2,94.9,747.0,yes,1.0,6.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,855932.0,856256.0,328.0,533.8,83.8,708.0,yes,1.0,7.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,856284.0,856676.0,396.0,615.5,100.0,739.0,yes,1.0,8.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,856704.0,857172.0,472.0,710.1,99.6,751.0,yes,1.0,9.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,857200.0,857492.0,296.0,819.7,96.4,714.0,yes,1.0,11.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,857520.0,857720.0,204.0,872.2,97.3,684.0,yes,1.0,12.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,857740.0,857924.0,188.0,922.7,101.3,662.0,yes,1.0,13.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,857944.0,858180.0,240.0,889.6,98.2,656.0,yes,1.0,13.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,858200.0,858364.0,168.0,939.3,97.3,643.0,yes,1.0,13.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,858388.0,858524.0,140.0,999.5,99.3,628.0,yes,1.0,
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,858596.0,858952.0,360.0,242.0,165.2,612.0,yes,2.0,14.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,858980.0,859288.0,312.0,339.9,147.8,604.0,yes,2.0,16.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,859316.0,859440.0,128.0,270.9,149.2,575.0,yes,2.0,15.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,859488.0,859628.0,144.0,507.2,130.6,564.0,yes,2.0,19.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,859652.0,860060.0,412.0,447.5,149.2,609.0,yes,2.0,17.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,860088.0,860268.0,184.0,556.3,152.9,682.0,yes,2.0,20.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,860296.0,860520.0,228.0,501.7,158.2,701.0,yes,2.0,18.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,860552.0,860712.0,164.0,660.6,152.5,745.0,yes,2.0,21.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,860740.0,860940.0,204.0,638.1,154.9,754.0,yes,2.0,21.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,860968.0,861132.0,168.0,733.1,153.0,760.0,yes,2.0,23.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,861156.0,861372.0,220.0,701.9,150.5,779.0,yes,2.0,22.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,861400.0,861832.0,436.0,790.4,150.3,747.0,yes,2.0,24.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,861856.0,862108.0,256.0,839.6,146.9,781.0,yes,2.0,25.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,862136.0,862228.0,96.0,908.3,148.7,807.0,yes,2.0,26.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,862296.0,862548.0,256.0,246.1,225.7,793.0,yes,3.0,27.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,862576.0,862744.0,172.0,308.1,227.1,792.0,yes,3.0,27.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,862780.0,862908.0,132.0,259.2,230.2,797.0,yes,3.0,27.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,862940.0,863128.0,192.0,428.9,215.1,830.0,yes,3.0,30.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,863152.0,863336.0,188.0,407.8,208.5,859.0,yes,3.0,29.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,863364.0,863516.0,156.0,478.3,207.2,832.0,yes,3.0,30.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,863544.0,863792.0,252.0,575.1,200.2,791.0,yes,3.0,32.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,863820.0,864052.0,236.0,503.8,204.0,765.0,yes,3.0,31.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,864220.0,864528.0,312.0,644.1,198.9,768.0,yes,3.0,33.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,864556.0,864976.0,424.0,733.4,197.8,745.0,yes,3.0,35.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,865004.0,865352.0,352.0,829.7,201.6,695.0,yes,3.0,37.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,865376.0,865560.0,188.0,883.3,203.6,721.0,yes,3.0,38.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,865584.0,865716.0,136.0,937.6,199.9,743.0,yes,3.0,38.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,865792.0,866012.0,224.0,261.2,271.1,753.0,yes,4.0,40.0
1950138,1,story01,250,ET_Passa..._v2binoc,Fri Aug 28 20:49:00 2015,1950138.edf,853040,906841,53801,853117,906019,10,L,866044.0,866236.0,196.0,355.4,273.1,779.0,yes,4.0,41.0
