subj,trial_id,trial_type,trialstart,trialend,tdur,recstart,recend,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount,rpregres,ttfixurt
1950138,1,story01,853040,906841,53801,853117,906019,10,L,55954.0,0.0,204,68,1,4,Alex,1,215,258,204.25,258.0,304.0,1.0,1.0,,,0.0,304.0,108.0,304.0,0.0,0.0,861.0,584.0,3.0,,38328.0
1950138,1,story01,853040,906841,53801,853117,906019,10,L,55954.0,0.0,204,68,2,4, and,1,258,301,258.0,301.0,52.0,1.0,1.0,1.0,3.0,2.0,52.0,132.0,636.0,3.0,1.0,3.0,,,,38328.0
1950138,1,story01,853040,906841,53801,853117,906019,10,L,55954.0,0.0,204,68,3,4, Tim,1,301,344,301.0,344.0,204.0,1.0,0.0,0.0,861.0,1.0,204.0,296.0,204.0,0.0,0.0,861.0,,,,38328.0
1950138,1,story01,853040,906841,53801,853117,906019,10,L,55954.0,0.0,204,68,4,4, are,1,344,387,344.0,387.0,84.0,1.0,1.0,2.0,2.0,0.0,84.0,52.0,1384.0,7.0,1.0,3.0,460.0,2.0,,38328.0
1950138,1,story01,853040,906841,53801,853117,906019,10,L,55954.0,0.0,204,68,5,6, lost.,1,387,452,387.0,452.0,328.0,1.0,0.0,0.0,861.0,3.0,328.0,160.0,328.0,0.0,0.0,861.0,,,,38328.0
1950138,1,story01,853040,906841,53801,853117,906019,10,L,55954.0,0.0,204,68,6,7, Alex's,1,452,528,452.0,528.0,464.0,2.0,0.0,0.0,861.0,6.0,160.0,328.0,464.0,0.0,0.0,861.0,,,,38328.0
1950138,1,story01,853040,906841,53801,853117,906019,10,L,55954.0,0.0,204,68,7,5, wife,1,528,582,528.0,582.0,328.0,1.0,0.0,0.0,861.0,0.0,328.0,396.0,328.0,0.0,0.0,861.0,,,,38328.0
1950138,1,story01,853040,906841,53801,853117,906019,10,L,55954.0,0.0,204,68,8,9, recently,1,582,679,582.0,679.0,396.0,1.0,0.0,0.0,861.0,3.0,396.0,472.0,396.0,0.0,0.0,861.0,,,,38328.0
1950138,1,story01,853040,906841,53801,853117,906019,10,L,55954.0,0.0,204,68,9,7, passed,1,679,755,679.0,755.0,472.0,1.0,0.0,0.0,861.0,2.0,472.0,296.0,472.0,0.0,0.0,861.0,,,,38328.0
1950138,1,story01,853040,906841,53801,853117,906019,10,L,55954.0,0.0,204,68,10,5, away,1,755,809,755.0,809.0,,,,,,,,,,,,,,,,38328.0
