subj,trial_id,trial_type,trialstart,trialend,tdur,recstart,recend,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount,rpregres,ttfixurt
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,1,6,Cowboy,1,215,280,204.16666666666666,280.0,600.0,1.0,0.0,0.0,995.0,2.0,600.0,244.0,600.0,0.0,0.0,995.0,200.0,1.0,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,2,4, was,1,280,323,280.0,323.0,244.0,1.0,1.0,1.0,3.0,1.0,244.0,200.0,444.0,1.0,1.0,3.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,3,8, without,1,323,409,323.0,409.0,456.0,2.0,0.0,0.0,995.0,1.0,168.0,292.0,456.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,4,2, a,1,409,431,409.0,431.0,292.0,1.0,0.0,0.0,995.0,0.0,292.0,232.0,292.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,5,6, doubt,1,431,496,431.0,496.0,352.0,2.0,0.0,0.0,995.0,4.0,232.0,192.0,352.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,6,4, the,1,496,539,496.0,539.0,220.0,1.0,0.0,0.0,995.0,3.0,220.0,272.0,220.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,7,8, ugliest,1,539,625,539.0,625.0,192.0,1.0,1.0,6.0,23.0,1.0,192.0,220.0,412.0,1.0,6.0,29.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,8,6, horse,1,625,690,625.0,690.0,428.0,2.0,0.0,0.0,995.0,3.0,272.0,192.0,428.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,9,3, in,1,690,722,690.0,722.0,232.0,1.0,0.0,0.0,995.0,2.0,232.0,224.0,232.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,10,4, the,1,722,765,722.0,765.0,192.0,1.0,1.0,9.0,40.0,3.0,192.0,232.0,424.0,1.0,9.0,46.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,11,7, world.,1,765,841,765.0,841.0,224.0,1.0,0.0,0.0,995.0,1.0,224.0,164.0,224.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,12,5, Even,1,841,895,841.0,895.0,316.0,1.0,0.0,0.0,995.0,3.0,316.0,204.0,316.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,13,4," so,",1,895,938,895.0,938.0,164.0,1.0,1.0,12.0,54.0,2.0,164.0,316.0,684.0,2.0,12.0,61.0,204.0,1.0,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,14,2, I,1,938,960,938.0,970.8333333333334,,,,,,,,,,,,,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,15,5,loved,2,215,269,204.16666666666666,269.0,196.0,1.0,0.0,0.0,995.0,2.0,196.0,352.0,196.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,16,4, him,2,269,312,269.0,312.0,144.0,1.0,1.0,15.0,69.0,1.0,144.0,196.0,340.0,1.0,15.0,71.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,17,7, beyond,2,312,388,312.0,388.0,352.0,1.0,0.0,0.0,995.0,1.0,352.0,216.0,352.0,0.0,0.0,995.0,320.0,1.0,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,18,4, all,2,388,431,388.0,431.0,216.0,1.0,1.0,17.0,79.0,2.0,216.0,320.0,536.0,1.0,17.0,83.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,19,8, reason.,2,431,517,431.0,517.0,204.0,1.0,0.0,0.0,995.0,3.0,204.0,480.0,204.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,20,2, I,2,517,539,517.0,539.0,480.0,1.0,0.0,0.0,995.0,1.0,480.0,248.0,480.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,21,9, realized,2,539,636,539.0,636.0,480.0,2.0,0.0,0.0,995.0,8.0,248.0,340.0,480.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,22,5, that,2,636,690,636.0,690.0,,,,,,,,,,,,,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,23,3, my,2,690,723,690.0,723.0,340.0,1.0,0.0,0.0,995.0,1.0,340.0,220.0,340.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,24,5, only,2,723,777,723.0,777.0,,,,,,,,,,,,,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,25,7, chance,2,777,853,777.0,853.0,520.0,2.0,0.0,0.0,995.0,0.0,220.0,268.0,520.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,26,3, to,2,853,885,853.0,885.0,268.0,1.0,0.0,0.0,995.0,2.0,268.0,252.0,268.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,27,8, compete,2,885,971,885.0,981.8333333333334,252.0,1.0,0.0,0.0,995.0,4.0,252.0,180.0,252.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,28,5,would,3,215,269,204.16666666666666,269.0,476.0,1.0,0.0,0.0,995.0,3.0,476.0,388.0,476.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,29,3, be,3,269,301,269.0,301.0,180.0,1.0,1.0,28.0,134.0,0.0,180.0,476.0,656.0,1.0,28.0,142.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,30,3, in,3,301,333,301.0,333.0,,,,,,,,,,,,,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,31,4, the,3,333,376,333.0,376.0,388.0,1.0,0.0,0.0,995.0,0.0,388.0,188.0,388.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,32,6, speed,3,376,441,376.0,441.0,92.0,1.0,0.0,0.0,995.0,5.0,92.0,236.0,92.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,33,8," events,",3,441,527,441.0,527.0,188.0,1.0,1.0,32.0,155.0,0.0,188.0,92.0,516.0,2.0,32.0,159.0,236.0,1.0,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,34,6, since,3,527,592,527.0,592.0,148.0,1.0,0.0,0.0,995.0,3.0,148.0,252.0,148.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,35,7, events,3,592,668,592.0,668.0,216.0,1.0,1.0,34.0,163.0,0.0,216.0,148.0,616.0,2.0,34.0,171.0,388.0,2.0,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,36,6, based,3,668,733,668.0,733.0,172.0,1.0,1.0,35.0,168.0,5.0,172.0,136.0,308.0,1.0,35.0,174.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,37,3, on,3,733,765,733.0,765.0,,,,,,,,,,,,,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,38,11, appearance,3,765,884,765.0,884.0,776.0,3.0,0.0,0.0,995.0,2.0,336.0,312.0,776.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,39,5, were,3,884,938,884.0,938.0,312.0,1.0,0.0,0.0,995.0,0.0,312.0,164.0,312.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,40,4, out,3,938,981,938.0,981.0,164.0,1.0,0.0,0.0,995.0,1.0,164.0,156.0,164.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,41,3, of,3,981,1013,981.0,1023.8333333333334,,,,,,,,,,,,,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,42,3,the,4,215,247,204.16666666666666,247.0,,,,,,,,,,,,,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,43,10, question.,4,247,355,247.0,355.0,592.0,3.0,0.0,0.0,995.0,4.0,156.0,272.0,592.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,44,2, I,4,355,377,355.0,377.0,,,,,,,,,,,,,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,45,6, chose,4,377,442,377.0,442.0,272.0,1.0,0.0,0.0,995.0,2.0,272.0,268.0,272.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,46,7, barrel,4,442,518,442.0,518.0,268.0,1.0,0.0,0.0,995.0,1.0,268.0,180.0,268.0,0.0,0.0,995.0,316.0,1.0,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,47,7, racing,4,518,594,518.0,594.0,180.0,1.0,1.0,46.0,233.0,4.0,180.0,316.0,496.0,1.0,46.0,239.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,48,4, and,4,594,637,594.0,637.0,,,,,,,,,,,,,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,49,5, came,4,637,691,637.0,691.0,144.0,1.0,0.0,0.0,995.0,0.0,144.0,144.0,144.0,0.0,0.0,995.0,244.0,1.0,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,50,3, in,4,691,723,691.0,723.0,144.0,1.0,1.0,49.0,251.0,2.0,144.0,244.0,388.0,1.0,49.0,255.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,51,5, next,4,723,777,723.0,777.0,276.0,1.0,0.0,0.0,995.0,0.0,276.0,184.0,276.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,52,3, to,4,777,809,777.0,809.0,288.0,1.0,0.0,0.0,995.0,1.0,288.0,184.0,288.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,53,6," last,",4,809,874,809.0,874.0,184.0,1.0,1.0,52.0,261.0,0.0,184.0,288.0,656.0,2.0,52.0,266.0,184.0,1.0,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,54,6, while,4,874,939,874.0,939.0,340.0,1.0,0.0,0.0,995.0,4.0,340.0,160.0,340.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,55,7," Becky,",4,939,1015,939.0,1025.8333333333333,160.0,1.0,0.0,0.0,995.0,3.0,160.0,380.0,160.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,56,3,who,5,215,247,204.16666666666666,247.0,,,,,,,,,,,,,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,57,5, rode,5,247,301,247.0,301.0,640.0,2.0,0.0,0.0,995.0,0.0,380.0,144.0,640.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,58,2, a,5,301,323,301.0,323.0,,,,,,,,,,,,,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,59,4, big,5,323,366,323.0,366.0,144.0,1.0,0.0,0.0,995.0,0.0,144.0,408.0,144.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,60,6, brown,5,366,431,366.0,431.0,408.0,1.0,0.0,0.0,995.0,1.0,408.0,160.0,408.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,61,13, thoroughbred,5,431,571,431.0,571.0,420.0,2.0,0.0,0.0,995.0,8.0,160.0,224.0,420.0,0.0,0.0,995.0,124.0,1.0,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,62,6," mare,",5,571,636,571.0,636.0,224.0,1.0,1.0,61.0,311.0,1.0,224.0,124.0,348.0,1.0,61.0,317.0,264.0,1.0,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,63,4, won,5,636,679,636.0,679.0,144.0,1.0,1.0,62.0,310.0,2.0,144.0,264.0,408.0,1.0,62.0,323.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,64,6, every,5,679,744,679.0,744.0,256.0,1.0,0.0,0.0,995.0,3.0,256.0,164.0,256.0,0.0,0.0,995.0,,,,41416.0
1950138,3,story03,959020,1021493,62473,959070,1020672,20,L,70251.0,0.0,236,71,65,6, time.,5,744,809,744.0,809.0,288.0,2.0,0.0,0.0,995.0,5.0,164.0,480.0,288.0,0.0,0.0,995.0,,,,41416.0
