subj,trial_id,eye,startline,endline,FixlineIndex,start_time,end_time,duration,x_pos,y_pos,pup_size,valid
1950138,1,L,1.0,2.0,22.0,858596.0,858952.0,360.0,242.0,165.2,612.0,yes
1950138,1,L,2.0,3.0,36.0,862296.0,862548.0,256.0,246.1,225.7,793.0,yes
1950138,1,L,3.0,4.0,49.0,865792.0,866012.0,224.0,261.2,271.1,753.0,yes
1950138,1,L,4.0,5.0,68.0,870168.0,870360.0,196.0,277.2,345.5,754.0,yes
1950138,1,L,5.0,6.0,86.0,874960.0,875084.0,128.0,305.6,415.5,665.0,yes
1950138,1,L,6.0,7.0,102.0,880056.0,880340.0,288.0,260.7,455.0,706.0,yes
1950138,1,L,7.0,8.0,118.0,884108.0,884356.0,252.0,222.2,512.5,666.0,yes
1950138,1,L,8.0,9.0,137.0,888984.0,889352.0,372.0,250.4,576.5,627.0,yes
1950138,1,L,9.0,10.0,152.0,892768.0,892984.0,220.0,251.8,622.2,690.0,yes
1950138,1,L,10.0,11.0,167.0,896732.0,896924.0,196.0,265.1,674.9,706.0,yes
1950138,1,L,11.0,12.0,184.0,900776.0,901152.0,380.0,249.7,740.3,734.0,yes
1950138,1,L,12.0,13.0,200.0,904796.0,905032.0,240.0,231.2,815.6,676.0,yes
1950138,1,R,1.0,2.0,226.0,858596.0,858952.0,360.0,250.0,161.7,737.0,yes
1950138,1,R,2.0,3.0,240.0,862308.0,862548.0,244.0,228.7,189.9,929.0,yes
1950138,1,R,3.0,4.0,253.0,865784.0,866012.0,232.0,232.7,245.1,884.0,yes
1950138,1,R,4.0,5.0,272.0,870160.0,870356.0,200.0,256.7,320.9,874.0,yes
1950138,1,R,5.0,6.0,290.0,874960.0,875084.0,128.0,293.8,398.0,787.0,yes
1950138,1,R,6.0,7.0,308.0,880060.0,880336.0,280.0,243.3,431.7,817.0,yes
1950138,1,R,7.0,8.0,324.0,884108.0,884356.0,252.0,213.2,507.5,756.0,yes
