subj,trial_id,eye,startline,endline,FixlineIndex,start_time,end_time,duration,x_pos,y_pos,pup_size,valid
1950138,1,R,8.0,9.0,343.0,888992.0,889196.0,208.0,233.7,569.8,722.0,yes
1950138,1,R,9.0,10.0,359.0,892776.0,892980.0,208.0,253.5,623.0,772.0,yes
1950138,1,R,10.0,11.0,374.0,896732.0,896924.0,196.0,261.2,662.5,796.0,yes
1950138,1,R,11.0,12.0,391.0,900768.0,901152.0,388.0,250.2,743.9,830.0,yes
1950138,1,R,12.0,13.0,407.0,904796.0,905032.0,240.0,242.0,805.4,765.0,yes
1950138,2,L,1.0,2.0,19.0,919908.0,920048.0,144.0,304.3,146.9,717.0,yes
1950138,2,L,2.0,3.0,37.0,924672.0,924796.0,128.0,274.6,228.7,708.0,yes
1950138,2,L,3.0,4.0,52.0,928920.0,929024.0,108.0,315.9,281.9,737.0,yes
1950138,2,L,4.0,5.0,70.0,933160.0,933276.0,120.0,331.5,328.1,704.0,yes
1950138,2,L,5.0,6.0,84.0,936928.0,937064.0,140.0,293.3,405.9,713.0,yes
1950138,2,L,6.0,7.0,101.0,941180.0,941308.0,132.0,305.7,442.4,738.0,yes
1950138,2,L,7.0,8.0,116.0,944912.0,945104.0,196.0,254.7,510.0,742.0,yes
1950138,2,L,8.0,9.0,132.0,948800.0,948972.0,176.0,284.0,558.3,726.0,yes
1950138,2,R,1.0,2.0,165.0,919912.0,920048.0,140.0,293.3,155.4,854.0,yes
1950138,2,R,2.0,3.0,183.0,924672.0,924792.0,124.0,244.4,214.2,856.0,yes
1950138,2,R,3.0,4.0,198.0,928920.0,929020.0,104.0,305.0,287.8,892.0,yes
1950138,2,R,4.0,5.0,216.0,933160.0,933276.0,120.0,294.6,315.8,818.0,yes
1950138,2,R,5.0,6.0,230.0,936928.0,937064.0,140.0,260.8,393.1,820.0,yes
1950138,2,R,6.0,7.0,247.0,941180.0,941312.0,136.0,274.1,427.4,868.0,yes
1950138,2,R,7.0,8.0,262.0,944912.0,945104.0,196.0,233.7,517.0,822.0,yes
1950138,2,R,8.0,9.0,278.0,948804.0,948968.0,168.0,270.3,557.3,822.0,yes
1950138,3,L,1.0,2.0,19.0,963972.0,964112.0,144.0,284.7,135.0,722.0,yes
1950138,3,L,2.0,3.0,33.0,968136.0,968312.0,180.0,273.5,210.2,688.0,yes
1950138,3,L,3.0,4.0,49.0,972304.0,972456.0,156.0,299.0,249.6,688.0,yes
1950138,3,L,4.0,5.0,65.0,976512.0,976888.0,380.0,248.9,348.9,704.0,yes
1950138,3,L,5.0,6.0,81.0,980836.0,980972.0,140.0,311.8,396.8,739.0,yes
1950138,3,L,6.0,7.0,95.0,985048.0,985184.0,140.0,325.4,440.8,646.0,yes
1950138,3,L,7.0,8.0,113.0,989420.0,989660.0,244.0,285.6,506.9,690.0,yes
1950138,3,L,8.0,9.0,128.0,994220.0,994432.0,216.0,291.3,565.2,645.0,yes
1950138,3,L,9.0,10.0,141.0,997872.0,998100.0,232.0,248.7,641.1,675.0,yes
1950138,3,L,10.0,11.0,165.0,1002972.0,1003120.0,152.0,279.0,701.7,536.0,yes
1950138,3,L,11.0,12.0,179.0,1006260.0,1006608.0,352.0,260.9,758.7,586.0,yes
1950138,3,L,12.0,13.0,197.0,1010688.0,1010868.0,184.0,287.1,835.3,563.0,yes
1950138,3,L,13.0,14.0,214.0,1015084.0,1015232.0,152.0,274.6,881.6,741.0,yes
1950138,3,R,1.0,2.0,255.0,963968.0,964112.0,148.0,281.3,129.2,857.0,yes
1950138,3,R,2.0,3.0,269.0,968136.0,968312.0,180.0,258.8,222.5,829.0,yes
1950138,3,R,3.0,4.0,285.0,972304.0,972456.0,156.0,272.0,255.3,820.0,yes
1950138,3,R,4.0,5.0,301.0,976516.0,976888.0,376.0,235.2,331.6,805.0,yes
1950138,3,R,5.0,6.0,317.0,980836.0,980976.0,144.0,286.1,401.6,837.0,yes
1950138,3,R,6.0,7.0,331.0,985048.0,985184.0,140.0,305.9,446.2,732.0,yes
1950138,3,R,7.0,8.0,349.0,989420.0,989656.0,240.0,267.6,521.1,769.0,yes
1950138,3,R,8.0,9.0,363.0,994224.0,994432.0,212.0,283.2,579.6,738.0,yes
1950138,3,R,9.0,10.0,376.0,997872.0,998100.0,232.0,243.2,656.6,754.0,yes
1950138,3,R,10.0,11.0,400.0,1002972.0,1003124.0,156.0,276.2,716.6,600.0,yes
1950138,3,R,11.0,12.0,414.0,1006252.0,1006608.0,360.0,268.2,780.2,643.0,yes
1950138,3,R,12.0,13.0,431.0,1010688.0,1010868.0,184.0,297.9,847.9,630.0,yes
1950138,3,R,13.0,14.0,448.0,1015084.0,1015232.0,152.0,303.6,902.8,812.0,yes
