subj,trial_id,eye,startline,endline,SaclineIndex,start_time,end_time,duration,x1_pos,y1_pos,x2_pos,y2_pos,ampl,pk
1950149,1,L,1.0,2.0,26.0,593027.0,593083.0,60.0,973.4,98.1,271.8,149.7,17.18,443.0
1950149,1,L,2.0,3.0,49.0,597631.0,597703.0,76.0,906.5,168.6,233.8,240.6,16.56,433.0
1950149,1,L,3.0,4.0,82.0,607727.0,607783.0,60.0,917.9,258.6,293.4,305.1,15.39,400.0
1950149,1,L,4.0,5.0,104.0,615523.0,615591.0,72.0,926.6,352.0,299.1,387.3,15.42,400.0
1950149,1,L,5.0,6.0,132.0,622727.0,622787.0,64.0,1000.0,396.1,289.0,434.0,17.37,424.0
1950149,1,L,6.0,7.0,159.0,628755.0,628819.0,68.0,995.1,432.9,259.2,508.2,17.98,461.0
1950149,1,L,7.0,8.0,187.0,634995.0,635043.0,52.0,732.3,507.3,302.2,555.4,10.65,318.0
1950149,1,L,8.0,9.0,208.0,639471.0,639519.0,52.0,759.1,565.2,341.3,554.2,10.28,294.0
1950149,1,L,9.0,10.0,230.0,645011.0,645071.0,64.0,1032.2,554.3,275.3,601.6,18.32,468.0
1950149,1,L,10.0,11.0,249.0,649375.0,649439.0,68.0,991.1,602.2,255.4,680.6,17.78,464.0
1950149,1,L,11.0,12.0,265.0,653931.0,653991.0,64.0,1004.0,672.3,276.3,732.8,17.51,465.0
1950149,1,L,12.0,13.0,289.0,659879.0,659939.0,64.0,1002.9,746.9,265.7,799.6,17.62,462.0
1950149,1,R,1.0,2.0,344.0,593027.0,593083.0,60.0,1015.4,78.0,307.7,134.8,17.34,445.0
1950149,1,R,2.0,3.0,367.0,597631.0,597703.0,76.0,955.9,135.5,260.1,191.7,17.09,433.0
1950149,1,R,3.0,4.0,402.0,607731.0,607783.0,56.0,937.2,207.9,304.4,266.2,15.62,411.0
1950149,1,R,4.0,5.0,424.0,615523.0,615591.0,72.0,966.0,319.1,317.8,361.4,15.94,421.0
1950149,1,R,5.0,6.0,449.0,622731.0,622787.0,60.0,1010.7,359.3,291.3,395.5,17.57,442.0
1950149,1,R,6.0,7.0,478.0,628755.0,628827.0,76.0,1026.5,408.3,283.6,461.7,18.12,479.0
1950149,1,R,7.0,8.0,505.0,634995.0,635043.0,52.0,748.1,465.5,296.7,520.6,11.19,345.0
1950149,1,R,8.0,9.0,526.0,639471.0,639515.0,48.0,773.1,533.4,363.4,535.5,10.08,322.0
1950149,1,R,9.0,10.0,548.0,645011.0,645071.0,64.0,1031.6,532.3,262.6,572.7,18.6,456.0
1950149,1,R,10.0,11.0,567.0,649375.0,649447.0,76.0,1007.1,594.9,263.9,671.9,17.98,453.0
1950149,1,R,11.0,12.0,585.0,653931.0,653991.0,64.0,1010.4,657.8,291.1,727.8,17.33,450.0
1950149,1,R,12.0,13.0,608.0,659879.0,659943.0,68.0,1016.4,702.8,271.1,760.1,17.84,469.0
1950149,2,L,1.0,2.0,1.0,671679.0,671775.0,100.0,917.1,380.5,441.4,74.8,13.99,245.0
1950149,2,L,2.0,3.0,24.0,677487.0,677551.0,68.0,990.4,126.4,279.6,176.4,17.4,406.0
1950149,2,L,3.0,4.0,53.0,684323.0,684383.0,64.0,980.3,183.7,224.7,231.8,18.47,428.0
1950149,2,L,4.0,5.0,71.0,689375.0,689435.0,64.0,855.9,202.8,324.6,261.3,13.26,326.0
1950149,2,L,5.0,6.0,93.0,694755.0,694815.0,64.0,930.5,322.2,269.5,380.6,16.25,389.0
1950149,2,L,6.0,7.0,119.0,701423.0,701487.0,68.0,993.0,395.1,250.7,434.9,18.11,416.0
1950149,2,L,7.0,6.0,120.0,701771.0,701835.0,68.0,260.2,439.3,913.1,395.6,16.0,414.0
1950149,2,L,6.0,7.0,123.0,702171.0,702231.0,64.0,1009.4,393.6,297.7,443.5,17.4,447.0
1950149,2,L,7.0,8.0,138.0,705547.0,705615.0,72.0,980.5,438.6,335.2,492.2,15.83,390.0
1950149,2,L,8.0,9.0,158.0,710355.0,710415.0,64.0,990.3,510.6,326.0,558.3,16.22,403.0
1950149,2,R,1.0,2.0,196.0,671679.0,671775.0,100.0,942.3,344.6,449.5,71.2,13.94,250.0
1950149,2,R,2.0,3.0,217.0,677491.0,677559.0,72.0,1005.9,81.5,310.0,134.7,17.07,409.0
1950149,2,R,3.0,4.0,247.0,684323.0,684383.0,64.0,1008.5,129.2,265.7,192.2,18.18,442.0
1950149,2,R,4.0,5.0,263.0,688251.0,689495.0,1248.0,909.4,227.4,414.1,311.9,12.42,617.0
1950149,2,R,5.0,6.0,283.0,694755.0,694815.0,64.0,960.0,272.7,272.4,331.0,16.89,393.0
1950149,2,R,6.0,7.0,309.0,701423.0,701495.0,76.0,1015.4,335.8,287.6,383.3,17.79,408.0
1950149,2,R,7.0,6.0,310.0,701771.0,701831.0,64.0,275.7,391.8,960.4,340.6,16.79,418.0
1950149,2,R,6.0,7.0,313.0,702171.0,702231.0,64.0,1035.4,335.0,327.8,390.3,17.31,436.0
1950149,2,R,7.0,8.0,328.0,705547.0,705615.0,72.0,993.8,369.0,348.6,421.3,15.83,397.0
1950149,2,R,8.0,9.0,349.0,710355.0,710415.0,64.0,1013.3,455.5,343.8,500.5,16.35,414.0
1950149,3,L,1.0,2.0,33.0,734883.0,734955.0,76.0,1015.0,133.9,242.7,218.7,18.93,451.0
1950149,3,L,2.0,3.0,62.0,741627.0,741699.0,76.0,962.0,226.2,273.4,279.1,16.93,429.0
1950149,3,L,3.0,4.0,86.0,747899.0,747959.0,64.0,989.2,271.1,257.6,319.1,17.91,422.0
1950149,3,L,4.0,5.0,108.0,752987.0,753059.0,76.0,986.1,339.0,262.5,398.6,17.73,431.0
1950149,3,L,5.0,6.0,156.0,767615.0,767683.0,72.0,967.4,393.2,284.3,460.2,16.76,430.0
1950149,3,L,6.0,7.0,176.0,771979.0,772039.0,64.0,984.1,452.0,291.2,515.4,16.95,422.0
1950149,3,L,7.0,8.0,201.0,777175.0,777239.0,68.0,991.0,505.2,282.0,573.2,17.27,427.0
1950149,3,L,8.0,9.0,219.0,781291.0,781351.0,64.0,994.3,590.9,297.2,617.9,16.89,441.0
1950149,3,L,9.0,8.0,220.0,781859.0,781919.0,64.0,291.5,635.8,892.7,567.9,14.72,357.0
1950149,3,L,8.0,9.0,222.0,782279.0,782343.0,68.0,971.1,576.7,286.7,645.7,16.66,457.0
1950149,3,L,9.0,10.0,243.0,788043.0,788115.0,76.0,1015.1,618.9,319.7,697.8,16.86,409.0
1950149,3,L,10.0,11.0,267.0,794831.0,794891.0,64.0,997.2,682.1,306.1,739.4,16.67,399.0
1950149,3,L,11.0,12.0,284.0,798783.0,798839.0,60.0,902.0,754.3,377.4,815.8,12.72,367.0
1950149,3,L,12.0,13.0,315.0,805791.0,805851.0,64.0,1055.9,800.7,356.7,866.8,16.68,431.0
1950149,3,L,13.0,14.0,363.0,819107.0,819179.0,76.0,1015.8,864.6,332.0,931.8,16.16,434.0
1950149,3,R,1.0,2.0,425.0,734883.0,734955.0,76.0,1039.1,101.9,279.8,191.4,18.63,451.0
1950149,3,R,2.0,3.0,453.0,741631.0,741699.0,72.0,989.7,182.1,310.6,235.5,16.7,429.0
1950149,3,R,3.0,4.0,476.0,747903.0,747967.0,68.0,1000.0,233.0,293.7,276.2,17.3,428.0
1950149,3,R,4.0,5.0,498.0,752987.0,753059.0,76.0,995.4,302.7,273.9,362.3,17.68,435.0
1950149,3,R,5.0,6.0,543.0,767615.0,767695.0,84.0,984.0,380.5,267.7,441.3,17.53,443.0
1950149,3,R,6.0,7.0,563.0,771979.0,772035.0,60.0,984.7,430.9,285.0,493.9,17.11,425.0
1950149,3,R,7.0,8.0,587.0,777175.0,777251.0,80.0,999.4,507.7,269.0,564.1,17.74,451.0
1950149,3,R,8.0,9.0,605.0,781291.0,781347.0,60.0,998.1,559.4,301.9,598.9,16.88,433.0
1950149,3,R,9.0,8.0,606.0,781859.0,781919.0,64.0,281.5,605.4,889.8,527.9,14.92,351.0
1950149,3,R,8.0,9.0,608.0,782279.0,782343.0,68.0,981.2,546.3,287.5,609.1,16.87,426.0
1950149,3,R,9.0,10.0,631.0,788043.0,788119.0,80.0,1007.1,607.6,306.6,687.6,16.99,400.0
1950149,3,R,10.0,11.0,655.0,794831.0,794887.0,60.0,992.3,645.2,315.8,710.6,16.34,400.0
1950149,3,R,11.0,12.0,672.0,798783.0,798843.0,64.0,907.7,713.9,376.4,786.8,12.92,398.0
1950149,3,R,12.0,13.0,705.0,805795.0,805851.0,60.0,1048.9,764.1,353.9,835.1,16.59,438.0
1950149,3,R,13.0,14.0,753.0,818655.0,819175.0,524.0,1001.5,820.7,370.3,954.5,15.22,1048.0
