subj,trial_id,eye,startline,endline,FixlineIndex,start_time,end_time,duration,x_pos,y_pos,pup_size,valid
1950149,3,L,10.0,11.0,264.0,794895.0,794979.0,88.0,308.6,740.5,992.0,yes
1950149,3,L,11.0,12.0,281.0,798843.0,798927.0,88.0,365.4,816.8,1000.0,yes
1950149,3,L,12.0,13.0,310.0,805855.0,805935.0,84.0,355.6,870.3,889.0,yes
1950149,3,L,13.0,14.0,358.0,819183.0,819295.0,116.0,323.0,938.3,1268.0,yes
1950149,3,R,1.0,2.0,420.0,734959.0,735091.0,136.0,263.9,191.1,1173.0,yes
1950149,3,R,2.0,3.0,448.0,741703.0,741923.0,224.0,288.9,235.7,1179.0,yes
1950149,3,R,3.0,4.0,471.0,747971.0,748211.0,244.0,266.1,285.4,1027.0,yes
1950149,3,R,4.0,5.0,492.0,753063.0,753295.0,236.0,261.5,375.1,1056.0,yes
1950149,3,R,5.0,6.0,537.0,767699.0,767983.0,288.0,274.2,443.6,986.0,yes
1950149,3,R,6.0,7.0,557.0,772039.0,772427.0,392.0,274.4,492.5,905.0,yes
1950149,3,R,7.0,8.0,580.0,777255.0,777459.0,208.0,270.8,563.8,829.0,yes
1950149,3,R,8.0,9.0,598.0,781351.0,781855.0,508.0,287.0,598.2,903.0,yes
1950149,3,R,9.0,8.0,599.0,781923.0,782047.0,128.0,900.7,529.1,865.0,yes
1950149,3,R,8.0,9.0,601.0,782347.0,782527.0,184.0,284.7,615.8,934.0,yes
1950149,3,R,9.0,10.0,623.0,788123.0,788363.0,244.0,302.4,685.9,830.0,yes
1950149,3,R,10.0,11.0,647.0,794891.0,794979.0,92.0,304.7,706.6,859.0,yes
1950149,3,R,11.0,12.0,664.0,798847.0,798927.0,84.0,362.2,789.0,866.0,yes
1950149,3,R,12.0,13.0,695.0,805855.0,805935.0,84.0,350.0,834.6,784.0,yes
1950149,3,R,13.0,14.0,736.0,819179.0,819295.0,120.0,329.5,929.8,1003.0,yes
