subj,trial_id,trial_type,trialstart,trialend,tdur,recstart,recend,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount,rpregres,ttfixurt
1950149,2,story02,671259,719880,48621,671310,719062,7,L,26233.0,0.0,194,45,1,3,The,1,215,247,204.33333333333334,247.0,160.0,1.0,0.0,0.0,605.0,1.0,160.0,172.0,160.0,0.0,0.0,605.0,,,,27480.0
1950149,2,story02,671259,719880,48621,671310,719062,7,L,26233.0,0.0,194,45,2,6, trial,1,247,312,247.0,312.0,,,,,,,,,,,,,,,,27480.0
1950149,2,story02,671259,719880,48621,671310,719062,7,L,26233.0,0.0,194,45,3,5, pack,1,312,366,312.0,366.0,,,,,,,,,,,,,,,,27480.0
1950149,2,story02,671259,719880,48621,671310,719062,7,L,26233.0,0.0,194,45,4,3, of,1,366,398,366.0,398.0,,,,,,,,,,,,,,,,27480.0
1950149,2,story02,671259,719880,48621,671310,719062,7,L,26233.0,0.0,194,45,5,15, Beauty-Forever,1,398,560,398.0,560.0,,,,,,,,,,,,,,,,27480.0
1950149,2,story02,671259,719880,48621,671310,719062,7,L,26233.0,0.0,194,45,6,6, pills,1,560,625,560.0,625.0,,,,,,,,,,,,,,,,27480.0
1950149,2,story02,671259,719880,48621,671310,719062,7,L,26233.0,0.0,194,45,7,5, made,1,625,679,625.0,679.0,,,,,,,,,,,,,,,,27480.0
1950149,2,story02,671259,719880,48621,671310,719062,7,L,26233.0,0.0,194,45,8,4, the,1,679,722,679.0,722.0,,,,,,,,,,,,,,,,27480.0
1950149,2,story02,671259,719880,48621,671310,719062,7,L,26233.0,0.0,194,45,9,7, couple,1,722,798,722.0,798.0,,,,,,,,,,,,,,,,27480.0
1950149,2,story02,671259,719880,48621,671310,719062,7,L,26233.0,0.0,194,45,10,5, feel,1,798,852,798.0,852.0,,,,,,,,,,,,,,,,27480.0
1950149,2,story02,671259,719880,48621,671310,719062,7,L,26233.0,0.0,194,45,11,5, more,1,852,906,852.0,906.0,,,,,,,,,,,,,,,,27480.0
1950149,2,story02,671259,719880,48621,671310,719062,7,L,26233.0,0.0,194,45,12,11, attractive,1,906,1025,906.0,1035.6666666666667,172.0,1.0,0.0,0.0,605.0,0.0,172.0,56.0,172.0,0.0,0.0,605.0,,,,27480.0
1950149,2,story02,671259,719880,48621,671310,719062,7,L,26233.0,0.0,194,45,13,4,than,2,215,258,204.33333333333334,258.0,,,,,,,,,,,,,,,,27480.0
1950149,2,story02,671259,719880,48621,671310,719062,7,L,26233.0,0.0,194,45,14,7, either,2,258,334,258.0,334.0,1132.0,3.0,0.0,0.0,605.0,3.0,84.0,204.0,1132.0,0.0,0.0,605.0,,,,27480.0
1950149,2,story02,671259,719880,48621,671310,719062,7,L,26233.0,0.0,194,45,15,4, had,2,334,377,334.0,377.0,204.0,1.0,0.0,0.0,605.0,1.0,204.0,280.0,204.0,0.0,0.0,605.0,,,,27480.0
1950149,2,story02,671259,719880,48621,671310,719062,7,L,26233.0,0.0,194,45,16,5, ever,2,377,431,377.0,431.0,280.0,1.0,0.0,0.0,605.0,2.0,280.0,200.0,280.0,0.0,0.0,605.0,,,,27480.0
1950149,2,story02,671259,719880,48621,671310,719062,7,L,26233.0,0.0,194,45,17,9, imagined,2,431,528,431.0,528.0,56.0,1.0,1.0,14.0,78.0,1.0,56.0,84.0,1940.0,7.0,14.0,82.0,268.0,2.0,,27480.0
